country,city,maximum_company
"United Kingdom",London,34
France,Paris,19
Germany,Berlin,17
Sweden,Stockholm,6
Netherlands,Amsterdam,6
Germany,Munich,5
Ireland,Dublin,5
Turkey,Istanbul,3
Norway,Oslo,3
Spain,Madrid,2
Switzerland,Zurich,2
Estonia,Tallinn,2
"United Kingdom",Bristol,2
Austria,Vienna,2
Finland,Helsinki,2
Switzerland,Schaffhausen,1
Finland,Oulu,1
Germany,Duderstadt,1
"United Kingdom",Cambridge,1
"United Kingdom",Peterborough,1
Switzerland,Lausanne,1
"United Kingdom",Aberdeen,1
Norway,Lysaker,1
"United Kingdom",Altrincham,1
Lithuania,Vilnius,1
Belgium,Louvain-la-Neuve,1
Germany,Unterfoehring,1
"United Kingdom",Colchester,1
Germany,Bruchsal,1
France,Croix,1
Denmark,Aarhus,1
Luxembourg,Leudelange,1
France,Roubaix,1
France,Evry,1
"United Kingdom",Solihull,1
Belgium,Ghent,1
France,"La Plaine Saint-Denis",1
Spain,Barcelona,1
Belgium,Brussels,1
"Czech Republic",Prague,1
Switzerland,Prilly,1
Germany,Chemnitz,1
"United Kingdom",Crewe,1
Finland,Espoo,1
Croatia,Vodnjan,1
Denmark,Copenhagen,1
Italy,Milan,1
France,Montpellier,1
